Collision,Frame,Type
1,34,NA
2,65,NA
3,81,NA
4,92,NA
5,110,NA
6,138,NA
7,162,NA
8,187,NA
9,224,NA
10,251,NA
11,266,NA
12,290,NA
13,319,NA
14,345,NA
15,360,NA
16,380,NA
17,397,NA
18,406,NA
19,433,NA
20,440,NA
21,451,NA
22,469,NA
23,475,NA
24,506,NA
25,515,NA
26,526,NA
27,544,NA
28,551,NA
29,591,NA
