Collision,Frame,Type
1,13,NA
2,18,NA
3,29,NA
4,47,NA
5,67,NA
6,90,NA
7,105,NA
8,113,NA
9,128,NA
10,143,NA
11,159,NA
12,172,NA
13,184,NA
14,195,NA
15,222,NA
16,233,NA
17,251,NA
18,275,NA
19,277,NA
20,289,NA
21,308,NA
22,329,NA
23,354,NA
24,368,NA
25,381,NA
26,393,NA
27,408,NA
28,427,NA
29,442,NA
30,460,NA
31,482,NA
32,506,NA
33,533,NA
34,543,NA
35,563,NA
36,567,NA
